HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983104120000,BUY,0.27,2500,14,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545380000,BUY,0.265,60000,35,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031755400000,BUY,0.25,100000,105,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942420000,BUY,0.255,585400,74,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031755550000,BUY,0.23,4000,173,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244880000,BUY,0.26,202600,50,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545420000,BUY,0.265,500000,40,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545430000,BUY,0.265,20000,41,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570360180000,BUY,0.26,100000,65,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244990000,BUY,0.26,50000,52,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.255,100000,98,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976872140000,BUY,0.25,40000,120,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103370000,BUY,0.255,15000,99,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732160000,BUY,0.24,300000,152,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983104550000,BUY,0.255,250000,102,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569770000,BUY,0.25,700000,104,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244840000,BUY,0.26,983400,45,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359510000,BUY,0.265,675400,23,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103360000,BUY,0.255,5000,101,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031756190000,BUY,0.25,750000,106,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031756520000,BUY,0.25,450000,107,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941740000,BUY,0.25,10000,110,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244410000,BUY,0.245,1000000,141,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031756980000,BUY,0.25,400000,108,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103450000,BUY,0.265,992200,44,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449430170000,BUY,0.26,15000,70,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449430820000,BUY,0.25,30000,124,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625243920000,BUY,0.235,30000,164,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941980000,BUY,0.25,350000,111,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942030000,BUY,0.25,150000,113,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983104730000,BUY,0.27,50700,17,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942310000,BUY,0.25,80000,115,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942370000,BUY,0.25,40000,116,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031755520000,BUY,0.22,50000,193,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7179302680127390000,BUY,0.25,50000,117,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580569460000,BUY,0.225,500000,182,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976871380000,BUY,0.25,100000,118,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.23,1000000,178,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625243850000,BUY,0.25,100000,122,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580570400000,BUY,0.245,80000,128,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031756230000,BUY,0.245,20000,133,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580569490000,BUY,0.22,500000,188,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569550000,BUY,0.245,150000,129,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942030000,BUY,0.245,100000,134,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031756230000,BUY,0.245,20000,131,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941740000,BUY,0.245,20000,132,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732490000,BUY,0.235,1266300,166,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801059130000,BUY,0.245,430000,135,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545510000,BUY,0.27,1000000,2,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801059130000,BUY,0.245,668200,136,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983104550000,BUY,0.26,300000,72,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976871400000,BUY,0.24,200000,151,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801059130000,BUY,0.245,595400,137,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429390000,BUY,0.26,30000,56,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359510000,BUY,0.265,257900,19,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580569460000,BUY,0.225,500000,181,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207570750000,BUY,0.24,3000,148,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625243380000,BUY,0.255,80000,82,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218731430000,BUY,0.27,30000,7,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181281801059130000,BUY,0.245,549800,139,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855941380000,BUY,0.25,100000,109,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244410000,BUY,0.245,1000000,140,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569570000,BUY,0.24,80000,145,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569800000,BUY,0.24,50000,147,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732490000,BUY,0.24,883400,153,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.24,500000,155,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.24,500000,156,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580569490000,BUY,0.22,1000000,190,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244870000,BUY,0.26,50000,47,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.24,500000,157,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569570000,BUY,0.235,80000,159,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569570000,BUY,0.225,80000,184,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031755410000,BUY,0.235,50000,161,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545400000,BUY,0.26,80000,66,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031756090000,BUY,0.235,40000,162,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976871430000,BUY,0.235,150000,163,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7179302680127980000,BUY,0.255,70000,78,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.23,500000,175,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732490000,BUY,0.235,1243800,165,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.235,500000,167,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7180885976871890000,BUY,0.255,55000,79,,BUY,,,,,BUY,,BUY,,
